model,train_r2,test_r2,train_rmse,test_rmse
LinearRegression,0.7612154152108687,0.7541938630411251,27.423555708580547,28.756201883232137
RandomForest,0.9723675202306876,0.7957849869137943,9.328902439714511,26.210722738208776
GradientBoosting,0.8933333427230544,0.8002214711829485,18.32883930496142,25.924451018517658
XGBoost,0.9548441315925915,0.7908366917621076,11.925530852964283,26.52637557155807
